15:07:03 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:07:03 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:07:23 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:07:23 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:07:43 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:07:43 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:08:04 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:08:04 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:08:24 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:08:24 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:08:44 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:08:44 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:09:05 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:09:05 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:09:25 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:09:25 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:09:45 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:09:45 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:10:06 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:10:06 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:10:26 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:10:26 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:10:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:10:47 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:11:07 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:11:07 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:11:27 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:11:27 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:11:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:11:47 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:12:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:12:08 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:12:28 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:12:28 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:12:48 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:12:48 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:13:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:13:08 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:13:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:13:29 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:13:49 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:13:49 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:14:09 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:14:09 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:14:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:14:29 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:14:49 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:14:50 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:15:10 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:15:10 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:15:30 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:15:30 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:15:50 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:15:50 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:16:10 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:16:10 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:16:30 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:16:31 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:16:51 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:16:51 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:17:11 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:17:11 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:17:31 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:17:31 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:17:51 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:17:51 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:18:11 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:18:12 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:18:32 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:18:32 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:18:52 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:18:52 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:19:12 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:19:12 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:19:32 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:19:32 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:19:52 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:19:53 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:20:13 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:20:13 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:20:33 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:20:33 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:20:53 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:20:53 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:21:13 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:21:13 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:21:33 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:21:34 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:21:54 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:21:54 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:22:14 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:22:14 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:22:34 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
15:22:34 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 39742663, 'timeout': 20}" and files "None"
15:22:54 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
